Iter 518000,error 0.85
Iter 519000,error 0.846
Iter 520000,error 0.843
Iter 521000,error 0.841
Iter 522000,error 0.853
Iter 523000,error 0.835
Iter 524000,error 0.85
Iter 525000,error 0.837
Iter 526000,error 0.849
Iter 527000,error 0.836
Iter 528000,error 0.848
Iter 529000,error 0.841
Iter 530000,error 0.84
Iter 531000,error 0.841
Iter 532000,error 0.862
Iter 533000,error 0.867
Iter 534000,error 0.834
Iter 535000,error 0.853
Iter 536000,error 0.838
Iter 537000,error 0.855
Iter 538000,error 0.836
Iter 539000,error 0.836
Iter 540000,error 0.846
Iter 541000,error 0.833
Iter 542000,error 0.844
Iter 543000,error 0.835
Iter 544000,error 0.838
Iter 545000,error 0.835
Iter 546000,error 0.851
Iter 547000,error 0.852
Iter 548000,error 0.853
Iter 549000,error 0.84
Iter 550000,error 0.837
Iter 551000,error 0.837
Iter 552000,error 0.834
Iter 553000,error 0.934
Iter 554000,error 0.835
Iter 555000,error 0.841
Iter 556000,error 0.834
Iter 557000,error 0.864
Iter 558000,error 0.86
Iter 559000,error 0.836
Iter 560000,error 0.836
Iter 561000,error 0.841
Iter 562000,error 0.848
Iter 563000,error 0.856
Iter 564000,error 0.834
Iter 565000,error 0.833
Iter 566000,error 0.828
Iter 567000,error 0.839
Iter 568000,error 0.852
Iter 569000,error 0.831
Iter 570000,error 0.838
Iter 571000,error 0.831
Iter 572000,error 0.831
Iter 573000,error 0.837
Iter 574000,error 0.858
Iter 575000,error 0.839
Iter 576000,error 0.85
Iter 577000,error 0.853
Iter 578000,error 0.828
Iter 579000,error 0.832
Iter 580000,error 0.827
Iter 581000,error 0.833
Iter 582000,error 0.83
Iter 583000,error 0.827
Iter 584000,error 0.826
Iter 585000,error 0.829
Iter 586000,error 0.83
Iter 587000,error 0.843
Iter 588000,error 0.826
Iter 589000,error 0.831
Iter 590000,error 0.828
Iter 591000,error 0.843
Iter 592000,error 0.828
Iter 593000,error 0.833
Iter 594000,error 0.834
Iter 595000,error 0.857
Iter 596000,error 0.836
Iter 597000,error 0.829
Iter 598000,error 0.844
Iter 599000,error 0.879
Iter 600000,error 0.827
Iter 601000,error 0.824
Iter 602000,error 0.828
Iter 603000,error 0.845
Iter 604000,error 0.825
Iter 605000,error 0.825
Iter 606000,error 0.827
Iter 607000,error 0.835
Iter 608000,error 0.829
Iter 609000,error 0.836
Iter 610000,error 0.848
Iter 611000,error 0.826
Iter 612000,error 0.827
Iter 613000,error 0.824
Iter 614000,error 0.828
Iter 615000,error 0.823
Iter 616000,error 0.825
Iter 617000,error 0.848
Iter 618000,error 0.826
Iter 619000,error 0.829
Iter 620000,error 0.835
Iter 621000,error 0.834
Iter 622000,error 0.828
Iter 623000,error 0.827
Iter 624000,error 0.84
Iter 625000,error 0.844
Iter 626000,error 0.836
Iter 627000,error 0.824
Iter 628000,error 0.842
Iter 629000,error 0.825
Iter 630000,error 0.835
Iter 631000,error 0.823
Iter 632000,error 0.868
Iter 633000,error 0.827
Iter 634000,error 0.824
Iter 635000,error 0.828
Iter 636000,error 0.844
Iter 637000,error 0.822
Iter 638000,error 0.824
Iter 639000,error 0.824
Iter 640000,error 0.832
Iter 641000,error 0.845
Iter 642000,error 0.842
Iter 643000,error 0.822
Iter 644000,error 0.834
Iter 645000,error 0.821
Iter 646000,error 0.825
Iter 647000,error 0.823
Iter 648000,error 0.827
Iter 649000,error 0.828
Iter 650000,error 0.827
Iter 651000,error 0.82
Iter 652000,error 0.82
Iter 653000,error 0.828
Iter 654000,error 0.821
Iter 655000,error 0.831
Iter 656000,error 0.831
Iter 657000,error 0.82
Iter 658000,error 0.84
Iter 659000,error 0.824
Iter 660000,error 0.826
Iter 661000,error 0.824
Iter 662000,error 0.829
Iter 663000,error 0.836
Iter 664000,error 0.82
Iter 665000,error 0.825
Iter 666000,error 0.829
Iter 667000,error 0.823
Iter 668000,error 0.819
Iter 669000,error 0.828
Iter 670000,error 0.823
Iter 671000,error 0.837
Iter 672000,error 0.82
Iter 673000,error 0.82
Iter 674000,error 0.823
Iter 675000,error 0.819
Iter 676000,error 0.828
Iter 677000,error 0.832
Iter 678000,error 0.849
Iter 679000,error 0.837
Iter 680000,error 0.821
Iter 681000,error 0.82
Iter 682000,error 0.847
Iter 683000,error 0.82
Iter 684000,error 0.821
Iter 685000,error 0.821
Iter 686000,error 0.834
Iter 687000,error 0.835
Iter 688000,error 0.82
Iter 689000,error 0.832
Iter 690000,error 0.826
Iter 691000,error 0.825
Iter 692000,error 0.82
Iter 693000,error 0.818
Iter 694000,error 0.822
Iter 695000,error 0.82
Iter 696000,error 0.816
Iter 697000,error 0.819
